Time,Energy_theoretical_Wh_sum,GHI_mean,temp_max,temp_min,humidity_mean,wind_speed_mean,step,GHI_lag1,temp_max_lag1,GHI_7d_avg,temp_7d_avg,day_of_year,day_sin
2018-04-04,339.1831628481375,47.90416666666667,19.6,10.2,67.04166666666667,3.3666666666666667,458,26.23645833333333,14.9,30.21875,8.357142857142858,94,0.9988797155850336
2018-04-05,193.8293049492,26.521874999999998,13.7,5.1,78.125,5.2250000000000005,459,47.90416666666667,19.6,32.35044642857143,9.87142857142857,95,0.9979171608653922
2018-04-06,431.937936171675,58.53020833333334,10.5,0.0,67.04166666666667,4.216666666666667,460,26.521874999999998,13.7,37.08616071428572,10.828571428571431,96,0.9966589017541702
2018-04-07,421.0437703240125,58.23541666666666,17.0,0.7,51.708333333333336,5.55,461,58.53020833333334,10.5,40.96324404761905,12.114285714285716,97,0.9951053111006976
2018-04-08,422.0230264898625,59.50416666666666,20.1,8.8,61.416666666666664,4.3374999999999995,462,58.23541666666666,17.0,46.93541666666666,14.62857142857143,98,0.9932568492674143
2018-04-09,405.6065564830875,57.553124999999994,21.0,4.6,73.25,2.1458333333333335,463,59.50416666666666,20.1,47.78363095238095,16.685714285714287,99,0.9911140639934547
2018-04-10,407.21445970323754,57.421875,19.3,7.0,72.125,5.4624999999999995,464,57.553124999999994,21.0,52.23869047619048,17.314285714285713,100,0.9886775902323405
2018-04-11,254.087859992625,34.87708333333333,16.0,5.2,78.04166666666667,4.779166666666667,465,57.421875,19.3,50.37767857142857,16.8,101,0.9859481499638304
2018-04-12,355.01166773662504,49.725,20.4,7.5,73.16666666666667,6.020833333333333,466,34.87708333333333,16.0,53.692410714285714,17.75714285714286,102,0.9829265519799822
2018-04-13,352.92320710425,50.34583333333333,21.8,13.3,74.75,5.216666666666667,467,49.725,20.4,52.52321428571429,19.371428571428574,103,0.9796136916454901
2018-04-14,150.9364327752,20.611458333333335,13.3,6.3,88.5,3.9499999999999997,468,50.34583333333333,21.8,47.148363095238096,18.842857142857145,104,0.9760105506323683
2018-04-15,356.31044313930005,50.41979166666667,21.1,4.0,78.79166666666667,2.120833333333333,469,20.611458333333335,13.3,45.85059523809524,18.985714285714288,105,0.9721181966290613
2018-04-16,78.6816259297875,10.580208333333333,9.9,6.5,92.45833333333333,2.8625000000000003,470,50.41979166666667,21.1,39.14017857142857,17.4,106,0.9679377830240642
2018-04-17,367.08461497822503,51.098958333333336,15.5,4.8,83.70833333333333,2.65,471,10.580208333333333,9.9,38.23690476190476,16.857142857142858,107,0.9634705485641488
2018-04-18,445.637300960025,63.356249999999996,21.4,3.2,73.04166666666667,2.5833333333333335,472,51.098958333333336,15.5,42.30535714285714,17.62857142857143,108,0.9587178169872964
2018-04-19,449.053705261125,63.95729166666666,20.2,7.0,79.75,2.2333333333333334,473,63.356249999999996,21.4,44.338541666666664,17.6,109,0.9536809966304457
2018-04-20,455.93158871047495,65.76354166666667,24.5,8.3,68.70833333333333,3.4166666666666665,474,63.95729166666666,20.2,46.541071428571435,17.985714285714288,110,0.9483615800121715
2018-04-21,475.6073444393625,66.91875,16.6,5.7,66.25,3.7624999999999997,475,65.76354166666667,24.5,53.15639880952381,18.45714285714286,111,0.9427611433904207
2018-04-22,464.35123927271246,65.48333333333333,18.8,4.1,65.16666666666667,2.1333333333333333,476,66.91875,16.6,55.30833333333333,18.12857142857143,112,0.9368813462954315
2018-04-23,256.5469279418625,36.206250000000004,21.2,9.2,73.83333333333333,3.7291666666666665,477,65.48333333333333,18.8,58.96919642857143,19.742857142857144,113,0.9307239310379795
2018-04-24,225.62399487915,31.008333333333336,14.7,7.1,76.625,4.9875,478,36.206250000000004,21.2,56.09910714285714,19.62857142857143,114,0.9242907221930934
2018-04-25,189.6536916912375,26.23645833333333,17.7,6.1,86.375,5.45,479,31.008333333333336,14.7,50.79627976190476,19.099999999999998,115,0.9175836260593937
2018-04-26,261.126329623875,35.291666666666664,11.2,5.3,86.04166666666667,4.216666666666667,480,26.23645833333333,17.7,46.70119047619047,17.814285714285713,116,0.9106046300942163
2018-04-27,409.6078087966875,56.265625,14.0,3.9,71.58333333333333,3.375,481,35.291666666666664,11.2,45.34434523809524,16.314285714285713,117,0.9033558023246845
2018-04-28,456.3694833237,64.58333333333333,20.0,8.8,66.25,2.029166666666667,482,56.265625,14.0,45.01071428571429,16.8,118,0.895839290734909
2018-04-29,425.254662501975,60.697916666666664,20.2,10.5,67.95833333333333,3.170833333333333,483,64.58333333333333,20.0,44.327083333333334,16.999999999999996,119,0.8880573226294932
2018-04-30,422.3995694560125,60.98541666666667,25.2,10.7,70.25,5.2625,484,60.697916666666664,20.2,47.86696428571429,17.571428571428573,120,0.8800122039735357
2018-05-01,410.65819983675004,57.521874999999994,16.8,5.8,63.708333333333336,5.491666666666667,485,60.98541666666667,25.2,51.6546130952381,17.87142857142857,121,0.8717063187093219
2018-05-02,366.8201520271875,50.666666666666664,14.9,2.6,65.375,2.2291666666666665,486,57.521874999999994,16.8,55.144642857142856,17.47142857142857,122,0.8631421280499114
2018-05-03,352.5097427663625,49.521874999999994,17.6,3.6,75.95833333333333,3.225,487,50.666666666666664,14.9,57.17752976190476,18.385714285714283,123,0.854322169749827
2018-05-04,529.9445346346125,73.71770833333333,14.6,1.2,72.79166666666667,2.5833333333333335,488,49.521874999999994,17.6,59.67068452380953,18.471428571428568,124,0.8452490573530633
2018-05-05,499.687374181725,69.903125,17.3,0.3,71.79166666666667,2.6958333333333333,489,73.71770833333333,14.6,60.430654761904755,18.085714285714285,125,0.8359254794186372
2018-05-06,551.367784047375,78.34895833333333,19.8,4.1,69.33333333333333,2.3000000000000003,490,69.903125,17.3,62.95223214285714,18.02857142857143,126,0.8263541987239096
2018-05-07,546.8458670497125,78.746875,23.0,5.1,69.83333333333333,2.3666666666666667,491,78.34895833333333,19.8,65.48958333333334,17.714285714285715,127,0.8165380514459161
2018-05-08,553.718001611475,80.25104166666667,24.4,8.2,64.625,3.1958333333333333,492,78.746875,23.0,68.73660714285714,18.8,128,0.8064799463209448
2018-05-09,534.101946351975,78.2375,25.7,13.2,61.166666666666664,3.6750000000000003,493,80.25104166666667,24.4,72.67529761904761,20.342857142857145,129,0.7961828637826158
2018-05-10,433.41584516955,63.317708333333336,26.4,12.6,68.0,3.470833333333333,494,78.2375,25.7,74.64613095238096,21.599999999999998,130,0.7856498550787147
